0,142607,43.48,26.4,143077,44.72,27.1
2/0/0,142767,42.70,26.0,143237,43.94,26.7
2/0/3,142992,41.89,25.5,143462,43.13,26.2
2/1/0,142842,42.38,25.8,143312,43.63,26.5
2/1/1,142917,42.11,25.7,143387,43.35,26.4
2/1/2,142992,41.84,25.5,143462,43.08,26.2
2/2/0,142917,42.66,26.0,143387,43.90,26.7
2/4/1,143142,42.30,25.8,143612,43.54,26.5
2/5/1,143217,42.12,25.7,143687,43.37,26.4
2/6/0,143217,42.54,25.9,143687,43.79,26.6
2/8/1,143442,42.18,25.7,143912,43.42,26.4
2/9/0,143442,42.73,26.0,143912,43.97,26.7
2/9/1,143517,42.46,25.9,143987,43.70,26.6
2/9/2,143592,42.19,25.7,144062,43.43,26.4
2/10/0,143517,42.57,25.9,143987,43.81,26.6
2/10/1,143592,42.30,25.8,144062,43.54,26.5
2/10/2,143667,42.03,25.6,144137,43.27,26.3
2/10/3,143742,41.76,25.5,144212,43.00,26.2
2/11/0,143592,42.70,26.0,144062,43.94,26.7
2/11/1,143667,42.43,25.9,144137,43.67,26.5
2/11/2,143742,42.16,25.7,144212,43.40,26.4
2/12/0,143667,42.40,25.8,144137,43.64,26.5
2/12/1,143742,42.13,25.7,144212,43.37,26.4
2/12/2,143817,41.86,25.5,144287,43.10,26.2
2/13/0,143742,42.10,25.7,144212,43.34,26.4
2/13/1,143817,41.83,25.5,144287,43.07,26.2
2/14/0,143817,41.51,25.4,144287,42.75,26.0
2/14/1,143892,41.24,25.2,144362,42.48,25.9
2/15/0,143892,41.78,25.5,144362,43.02,26.2
3/0/0,142847,42.33,25.8,143317,43.57,26.5
3/1/0,142922,42.01,25.6,143392,43.25,26.3
3/2/0,142997,42.28,25.8,143467,43.53,26.5
3/2/1,143072,42.01,25.6,143542,43.25,26.3
3/8/0,143447,42.08,25.7,143917,43.32,26.4
3/9/0,143522,42.35,25.8,143992,43.59,26.5
3/9/1,143597,42.08,25.7,144067,43.32,26.4
3/9/2,143672,41.81,25.5,144142,43.05,26.2
3/9/3,143747,41.54,25.4,144217,42.78,26.1
3/10/0,143597,42.19,25.7,144067,43.43,26.4
3/10/1,143672,41.92,25.6,144142,43.16,26.3
3/10/2,143747,41.65,25.4,144217,42.89,26.1
3/10/3,143822,41.38,25.3,144292,42.62,26.0
3/10/4,143897,41.11,25.1,144367,42.35,25.8
3/11/0,143672,42.33,25.8,144142,43.57,26.5
3/11/1,143747,42.06,25.7,144217,43.30,26.3
3/11/2,143822,41.78,25.5,144292,43.03,26.2
3/12/0,143747,42.03,25.6,144217,43.27,26.3
3/12/1,143822,41.75,25.5,144292,43.00,26.2
3/12/2,143897,41.48,25.3,144367,42.72,26.0
3/13/0,143822,41.73,25.5,144292,42.97,26.2
3/13/1,143897,41.46,25.3,144367,42.70,26.0
3/13/2,143972,41.18,25.2,144442,42.43,25.9
3/14/0,143897,41.13,25.2,144367,42.37,25.8
3/14/1,143972,40.86,25.0,144442,42.10,25.7
3/14/2,144047,40.59,24.9,144517,41.83,25.6
3/15/0,143972,41.41,25.3,144442,42.65,26.0
4/0/0,142927,41.95,25.6,143397,43.19,26.3
4/1/0,143002,41.64,25.4,143472,42.88,26.1
4/1/1,143077,41.37,25.3,143547,42.61,26.0
4/2/0,143077,41.91,25.6,143547,43.15,26.3
4/4/1,143302,41.55,25.4,143772,42.79,26.1
4/10/0,143677,41.82,25.5,144147,43.06,26.2
4/10/1,143752,41.55,25.4,144222,42.79,26.1
4/11/0,143752,41.95,25.6,144222,43.20,26.3
4/11/1,143827,41.68,25.5,144297,42.92,26.1
4/12/0,143827,41.65,25.4,144297,42.89,26.1
4/12/1,143902,41.38,25.3,144372,42.62,26.0
4/12/2,143977,41.11,25.1,144447,42.35,25.8
4/13/0,143902,41.35,25.3,144372,42.60,26.0
4/13/1,143977,41.08,25.1,144447,42.32,25.8
4/14/0,143977,40.76,24.9,144447,42.00,25.6
4/15/0,144052,41.03,25.1,144522,42.28,25.8
