0,140841,38.83,23.8,141208,39.80,24.3
2/0/0,141001,38.05,23.3,141368,39.02,23.9
2/0/3,141226,37.24,22.9,141593,38.21,23.4
2/1/0,141076,37.73,23.1,141443,38.70,23.7
2/1/1,141151,37.46,23.0,141518,38.43,23.6
2/1/2,141226,37.19,22.9,141593,38.16,23.4
2/2/0,141151,38.01,23.3,141518,38.98,23.9
2/4/1,141376,37.65,23.1,141743,38.62,23.7
2/5/1,141451,37.47,23.0,141818,38.44,23.6
2/6/0,141451,37.89,23.3,141818,38.86,23.8
2/8/1,141676,37.53,23.1,142043,38.50,23.6
2/9/0,141676,38.08,23.4,142043,39.05,23.9
2/9/1,141751,37.81,23.2,142118,38.78,23.8
2/9/2,141826,37.54,23.1,142193,38.50,23.6
2/10/0,141751,37.92,23.3,142118,38.89,23.8
2/10/1*,*,141826,37.65,23.1,142193,38.62,23.7
2/10/2,141901,37.38,23.0,142268,38.34,23.5
2/10/3,141976,37.11,22.8,142343,38.07,23.4
2/11/0,141826,38.05,23.4,142193,39.02,23.9
2/11/1,141901,37.78,23.2,142268,38.75,23.8
2/11/2,141976,37.51,23.1,142343,38.48,23.6
2/12/0,141901,37.75,23.2,142268,38.72,23.8
2/12/1,141976,37.48,23.1,142343,38.45,23.6
2/12/2,142051,37.21,22.9,142418,38.18,23.5
2/13/0,141976,37.45,23.0,142343,38.42,23.6
2/13/1,142051,37.18,22.9,142418,38.15,23.4
2/14/0,142051,36.86,22.7,142418,37.83,23.3
2/14/1,142126,36.59,22.6,142493,37.56,23.1
2/15/0,142126,37.13,22.9,142493,38.10,23.4
3/0/0,141081,37.68,23.1,141448,38.64,23.7
3/1/0,141156,37.36,22.9,141523,38.33,23.5
3/2/0,141231,37.63,23.1,141598,38.60,23.7
3/2/1,141306,37.36,23.0,141673,38.33,23.5
3/8/0,141681,37.43,23.0,142048,38.40,23.6
3/9/0,141756,37.70,23.2,142123,38.67,23.7
3/9/1,141831,37.43,23.0,142198,38.40,23.6
3/9/2,141906,37.16,22.9,142273,38.13,23.4
3/9/3,141981,36.89,22.7,142348,37.86,23.3
3/10/0,141831,37.54,23.1,142198,38.51,23.6
3/10/1,141906,37.27,22.9,142273,38.24,23.5
3/10/2,141981,37.00,22.8,142348,37.97,23.3
3/10/3,142056,36.73,22.6,142423,37.70,23.2
3/10/4,142131,36.46,22.5,142498,37.43,23.0
3/11/0,141906,37.68,23.2,142273,38.64,23.7
3/11/1,141981,37.41,23.0,142348,38.37,23.6
3/11/2,142056,37.13,22.9,142423,38.10,23.4
3/12/0,141981,37.38,23.0,142348,38.34,23.5
3/12/1,142056,37.10,22.8,142423,38.07,23.4
3/12/2,142131,36.83,22.7,142498,37.80,23.3
3/13/0,142056,37.08,22.8,142423,38.05,23.4
3/13/1,142131,36.81,22.7,142498,37.77,23.2
3/13/2,142206,36.53,22.5,142573,37.50,23.1
3/14/0,142131,36.48,22.5,142498,37.45,23.1
3/14/1,142206,36.21,22.4,142573,37.18,22.9
3/14/2,142281,35.94,22.2,142648,36.91,22.8
3/15/0,142206,36.76,22.7,142573,37.73,23.2
4/0/0,141161,37.30,22.9,141528,38.27,23.5
4/1/0,141236,36.99,22.7,141603,37.96,23.3
4/1/1,141311,36.72,22.6,141678,37.69,23.2
4/2/0,141311,37.26,22.9,141678,38.23,23.5
4/4/1,141536,36.90,22.7,141903,37.87,23.3
4/10/0,141911,37.17,22.9,142278,38.14,23.4
4/10/1,141986,36.90,22.7,142353,37.87,23.3
4/11/0,141986,37.30,23.0,142353,38.27,23.5
4/11/1,142061,37.03,22.8,142428,38.00,23.4
4/12/0,142061,37.00,22.8,142428,37.97,23.3
4/12/1,142136,36.73,22.6,142503,37.70,23.2
4/12/2,142211,36.46,22.5,142578,37.43,23.1
4/13/0,142136,36.70,22.6,142503,37.67,23.2
4/13/1,142211,36.43,22.5,142578,37.40,23.0
4/14/0,142211,36.11,22.3,142578,37.08,22.9
4/15/0,142286,36.38,22.5,142653,37.35,23.0
